simulation_id;case_directory;scenario;phase;variant_combination;combination_probability;hydrology;flooding_warning;flooding_nodes;qmax_Fensterstollen_m3s;qmax_Entw_Stollen_m3s;qmax_Brunnmuehle_Teich_m3s;qmax_TWT_Portail_Est_61_665_m3s
sim_6139;d:\users\isska\documents\github\twanntunnel_hydraulic_swmm\mass_computation\runs\scenario1\1_6a\sim_6139;scenario1;1_6a;1_1a-1_1a_0__1_1b-1_1b_2__1_2a-1_2a_0__1_2b-1_2b_1+1_2b_2__1_3a-1_3a_0__1_3b-1_3b_0__1_4a-1_4a_1__1_4b-1_4b_0__1_5a-1_5a_0__1_6a-1_6a_0;0.00112081690372;Q14_7;YES;SonSto_porte;2.45875;0.0775171;0.0790685;0
sim_6140;d:\users\isska\documents\github\twanntunnel_hydraulic_swmm\mass_computation\runs\scenario1\1_6a\sim_6140;scenario1;1_6a;1_1a-1_1a_0__1_1b-1_1b_2__1_2a-1_2a_0__1_2b-1_2b_1+1_2b_2__1_3a-1_3a_0__1_3b-1_3b_0__1_4a-1_4a_2__1_4b-1_4b_0__1_5a-1_5a_0__1_6a-1_6a_0;0.00112081690372;Q14_7;YES;SonSto_porte;4.56006;0.0776554;0.23303;0
sim_6141;d:\users\isska\documents\github\twanntunnel_hydraulic_swmm\mass_computation\runs\scenario1\1_6a\sim_6141;scenario1;1_6a;1_1a-1_1a_0__1_1b-1_1b_2__1_2a-1_2a_0__1_2b-1_2b_1+1_2b_2__1_3a-1_3a_0__1_3b-1_3b_0__1_4a-1_4a_1+1_4a_2__1_4b-1_4b_0__1_5a-1_5a_0__1_6a-1_6a_0;0.000182458565722;Q14_7;YES;SonSto_porte;2.46106;0.0774959;0.0846129;0
sim_6142;d:\users\isska\documents\github\twanntunnel_hydraulic_swmm\mass_computation\runs\scenario1\1_6a\sim_6142;scenario1;1_6a;1_1a-1_1a_0__1_1b-1_1b_2__1_2a-1_2a_0__1_2b-1_2b_1+1_2b_2__1_3a-1_3a_0__1_3b-1_3b_1__1_4a-1_4a_0__1_4b-1_4b_0__1_5a-1_5a_0__1_6a-1_6a_0;0.00121500319815;Q14_7;YES;SonSto_porte;4.56804;0.0776159;0.322968;0
sim_6143;d:\users\isska\documents\github\twanntunnel_hydraulic_swmm\mass_computation\runs\scenario1\1_6a\sim_6143;scenario1;1_6a;1_1a-1_1a_0__1_1b-1_1b_2__1_2a-1_2a_0__1_2b-1_2b_1+1_2b_2__1_3a-1_3a_0__1_3b-1_3b_1__1_4a-1_4a_0__1_4b-1_4b_0__1_5a-1_5a_0__1_6a-1_6a_1;0.000105652452013;Q14_7;YES;SonSto_porte;4.56006;0.0776552;0.23249;0
sim_6144;d:\users\isska\documents\github\twanntunnel_hydraulic_swmm\mass_computation\runs\scenario1\1_6a\sim_6144;scenario1;1_6a;1_1a-1_1a_0__1_1b-1_1b_2__1_2a-1_2a_0__1_2b-1_2b_1+1_2b_2__1_3a-1_3a_0__1_3b-1_3b_1__1_4a-1_4a_0__1_4b-1_4b_0__1_5a-1_5a_0__1_6a-1_6a_2;0.000105652452013;Q14_7;YES;SonSto_porte;2.99427;0.0776802;0.258093;0
sim_6145;d:\users\isska\documents\github\twanntunnel_hydraulic_swmm\mass_computation\runs\scenario1\1_6a\sim_6145;scenario1;1_6a;1_1a-1_1a_0__1_1b-1_1b_2__1_2a-1_2a_0__1_2b-1_2b_1+1_2b_2__1_3a-1_3a_0__1_3b-1_3b_1__1_4a-1_4a_0__1_4b-1_4b_1__1_5a-1_5a_0__1_6a-1_6a_0;0.000105652452013;Q14_7;YES;SonSto_porte;4.56006;0.0776552;0.23249;0
sim_6146;d:\users\isska\documents\github\twanntunnel_hydraulic_swmm\mass_computation\runs\scenario1\1_6a\sim_6146;scenario1;1_6a;1_1a-1_1a_0__1_1b-1_1b_2__1_2a-1_2a_0__1_2b-1_2b_1+1_2b_2__1_3a-1_3a_0__1_3b-1_3b_1__1_4a-1_4a_0__1_4b-1_4b_2__1_5a-1_5a_0__1_6a-1_6a_0;0.000105652452013;Q14_7;YES;SonSto_porte;2.99427;0.0776802;0.258093;0
sim_6147;d:\users\isska\documents\github\twanntunnel_hydraulic_swmm\mass_computation\runs\scenario1\1_6a\sim_6147;scenario1;1_6a;1_1a-1_1a_0__1_1b-1_1b_2__1_2a-1_2a_0__1_2b-1_2b_1+1_2b_2__1_3a-1_3a_0__1_3b-1_3b_1__1_4a-1_4a_1__1_4b-1_4b_0__1_5a-1_5a_0__1_6a-1_6a_0;0.000197791218304;Q14_7;YES;SonSto_porte;2.4627;0.0775228;0.0790774;0
sim_6148;d:\users\isska\documents\github\twanntunnel_hydraulic_swmm\mass_computation\runs\scenario1\1_6a\sim_6148;scenario1;1_6a;1_1a-1_1a_0__1_1b-1_1b_2__1_2a-1_2a_0__1_2b-1_2b_1+1_2b_2__1_3a-1_3a_0__1_3b-1_3b_1__1_4a-1_4a_2__1_4b-1_4b_0__1_5a-1_5a_0__1_6a-1_6a_0;0.000197791218304;Q14_7;YES;SonSto_porte;4.56006;0.0776671;0.233031;0
sim_6149;d:\users\isska\documents\github\twanntunnel_hydraulic_swmm\mass_computation\runs\scenario1\1_6a\sim_6149;scenario1;1_6a;1_1a-1_1a_0__1_1b-1_1b_2__1_2a-1_2a_0__1_2b-1_2b_1+1_2b_2__1_3a-1_3a_0__1_3b-1_3b_2__1_4a-1_4a_0__1_4b-1_4b_0__1_5a-1_5a_0__1_6a-1_6a_0;0.00121500319815;Q14_7;YES;SonSto_porte;4.56802;0.0776123;0.322967;0
sim_6150;d:\users\isska\documents\github\twanntunnel_hydraulic_swmm\mass_computation\runs\scenario1\1_6a\sim_6150;scenario1;1_6a;1_1a-1_1a_0__1_1b-1_1b_2__1_2a-1_2a_0__1_2b-1_2b_1+1_2b_2__1_3a-1_3a_0__1_3b-1_3b_2__1_4a-1_4a_0__1_4b-1_4b_0__1_5a-1_5a_0__1_6a-1_6a_1;0.000105652452013;Q14_7;YES;SonSto_porte;4.56004;0.0776676;0.23249;0
sim_6151;d:\users\isska\documents\github\twanntunnel_hydraulic_swmm\mass_computation\runs\scenario1\1_6a\sim_6151;scenario1;1_6a;1_1a-1_1a_0__1_1b-1_1b_2__1_2a-1_2a_0__1_2b-1_2b_1+1_2b_2__1_3a-1_3a_0__1_3b-1_3b_2__1_4a-1_4a_0__1_4b-1_4b_0__1_5a-1_5a_0__1_6a-1_6a_2;0.000105652452013;Q14_7;YES;SonSto_porte;2.97277;0.0776621;0.258089;0
sim_6152;d:\users\isska\documents\github\twanntunnel_hydraulic_swmm\mass_computation\runs\scenario1\1_6a\sim_6152;scenario1;1_6a;1_1a-1_1a_0__1_1b-1_1b_2__1_2a-1_2a_0__1_2b-1_2b_1+1_2b_2__1_3a-1_3a_0__1_3b-1_3b_2__1_4a-1_4a_0__1_4b-1_4b_1__1_5a-1_5a_0__1_6a-1_6a_0;0.000105652452013;Q14_7;YES;SonSto_porte;4.56004;0.0776676;0.23249;0
sim_6153;d:\users\isska\documents\github\twanntunnel_hydraulic_swmm\mass_computation\runs\scenario1\1_6a\sim_6153;scenario1;1_6a;1_1a-1_1a_0__1_1b-1_1b_2__1_2a-1_2a_0__1_2b-1_2b_1+1_2b_2__1_3a-1_3a_0__1_3b-1_3b_2__1_4a-1_4a_0__1_4b-1_4b_2__1_5a-1_5a_0__1_6a-1_6a_0;0.000105652452013;Q14_7;YES;SonSto_porte;2.97277;0.0776621;0.258089;0
sim_6154;d:\users\isska\documents\github\twanntunnel_hydraulic_swmm\mass_computation\runs\scenario1\1_6a\sim_6154;scenario1;1_6a;1_1a-1_1a_0__1_1b-1_1b_2__1_2a-1_2a_0__1_2b-1_2b_1+1_2b_2__1_3a-1_3a_0__1_3b-1_3b_2__1_4a-1_4a_1__1_4b-1_4b_0__1_5a-1_5a_0__1_6a-1_6a_0;0.000197791218304;Q14_7;YES;SonSto_porte;2.46192;0.0775244;0.079074;0
sim_6155;d:\users\isska\documents\github\twanntunnel_hydraulic_swmm\mass_computation\runs\scenario1\1_6a\sim_6155;scenario1;1_6a;1_1a-1_1a_0__1_1b-1_1b_2__1_2a-1_2a_0__1_2b-1_2b_1+1_2b_2__1_3a-1_3a_0__1_3b-1_3b_2__1_4a-1_4a_2__1_4b-1_4b_0__1_5a-1_5a_0__1_6a-1_6a_0;0.000197791218304;Q14_7;YES;SonSto_porte;4.56004;0.0776669;0.23303;0
sim_6156;d:\users\isska\documents\github\twanntunnel_hydraulic_swmm\mass_computation\runs\scenario1\1_6a\sim_6156;scenario1;1_6a;1_1a-1_1a_0__1_1b-1_1b_2__1_2a-1_2a_0__1_2b-1_2b_1+1_2b_2__1_3a-1_3a_0__1_3b-1_3b_3__1_4a-1_4a_0__1_4b-1_4b_0__1_5a-1_5a_0__1_6a-1_6a_0;0.000286875755119;Q14_7;YES;SonSto_porte;4.38896;0.0776819;0.318059;0.818677
sim_6157;d:\users\isska\documents\github\twanntunnel_hydraulic_swmm\mass_computation\runs\scenario1\1_6a\sim_6157;scenario1;1_6a;1_1a-1_1a_0__1_1b-1_1b_2__1_2a-1_2a_0__1_2b-1_2b_1+1_2b_2__1_3a-1_3a_0__1_3b-1_3b_1+1_3b_2__1_4a-1_4a_0__1_4b-1_4b_0__1_5a-1_5a_0__1_6a-1_6a_0;0.000214412329086;Q14_7;YES;SonSto_porte;4.56802;0.0776109;0.322967;0
sim_6158;d:\users\isska\documents\github\twanntunnel_hydraulic_swmm\mass_computation\runs\scenario1\1_6a\sim_6158;scenario1;1_6a;1_1a-1_1a_0__1_1b-1_1b_2__1_2a-1_2a_0__1_2b-1_2b_1+1_2b_2__1_3a-1_3a_1__1_3b-1_3b_0__1_4a-1_4a_0__1_4b-1_4b_0__1_5a-1_5a_0__1_6a-1_6a_0;0.00121500319815;Q14_7;YES;SonSto_porte;4.56804;0.077615;0.322968;0.216135
sim_6159;d:\users\isska\documents\github\twanntunnel_hydraulic_swmm\mass_computation\runs\scenario1\1_6a\sim_6159;scenario1;1_6a;1_1a-1_1a_0__1_1b-1_1b_2__1_2a-1_2a_0__1_2b-1_2b_1+1_2b_2__1_3a-1_3a_1__1_3b-1_3b_0__1_4a-1_4a_0__1_4b-1_4b_0__1_5a-1_5a_0__1_6a-1_6a_1;0.000105652452013;Q14_7;YES;SonSto_porte;4.56006;0.0776568;0.23249;0.216129
sim_6160;d:\users\isska\documents\github\twanntunnel_hydraulic_swmm\mass_computation\runs\scenario1\1_6a\sim_6160;scenario1;1_6a;1_1a-1_1a_0__1_1b-1_1b_2__1_2a-1_2a_0__1_2b-1_2b_1+1_2b_2__1_3a-1_3a_1__1_3b-1_3b_0__1_4a-1_4a_0__1_4b-1_4b_0__1_5a-1_5a_0__1_6a-1_6a_2;0.000105652452013;Q14_7;YES;SonSto_porte;2.99644;0.0776813;0.258092;0.190832
sim_6161;d:\users\isska\documents\github\twanntunnel_hydraulic_swmm\mass_computation\runs\scenario1\1_6a\sim_6161;scenario1;1_6a;1_1a-1_1a_0__1_1b-1_1b_2__1_2a-1_2a_0__1_2b-1_2b_1+1_2b_2__1_3a-1_3a_1__1_3b-1_3b_0__1_4a-1_4a_0__1_4b-1_4b_1__1_5a-1_5a_0__1_6a-1_6a_0;0.000105652452013;Q14_7;YES;SonSto_porte;4.56006;0.0776568;0.23249;0.216129
sim_6162;d:\users\isska\documents\github\twanntunnel_hydraulic_swmm\mass_computation\runs\scenario1\1_6a\sim_6162;scenario1;1_6a;1_1a-1_1a_0__1_1b-1_1b_2__1_2a-1_2a_0__1_2b-1_2b_1+1_2b_2__1_3a-1_3a_1__1_3b-1_3b_0__1_4a-1_4a_0__1_4b-1_4b_2__1_5a-1_5a_0__1_6a-1_6a_0;0.000105652452013;Q14_7;YES;SonSto_porte;2.99644;0.0776813;0.258092;0.190832
sim_6163;d:\users\isska\documents\github\twanntunnel_hydraulic_swmm\mass_computation\runs\scenario1\1_6a\sim_6163;scenario1;1_6a;1_1a-1_1a_0__1_1b-1_1b_2__1_2a-1_2a_0__1_2b-1_2b_1+1_2b_2__1_3a-1_3a_1__1_3b-1_3b_0__1_4a-1_4a_1__1_4b-1_4b_0__1_5a-1_5a_0__1_6a-1_6a_0;0.000197791218304;Q14_7;YES;SonSto_porte;2.46158;0.0775087;0.0790626;0.138684
sim_6164;d:\users\isska\documents\github\twanntunnel_hydraulic_swmm\mass_computation\runs\scenario1\1_6a\sim_6164;scenario1;1_6a;1_1a-1_1a_0__1_1b-1_1b_2__1_2a-1_2a_0__1_2b-1_2b_1+1_2b_2__1_3a-1_3a_1__1_3b-1_3b_0__1_4a-1_4a_2__1_4b-1_4b_0__1_5a-1_5a_0__1_6a-1_6a_0;0.000197791218304;Q14_7;YES;SonSto_porte;4.56006;0.077668;0.23303;0.216129
