simulation_id;case_directory;scenario;phase;variant_combination;combination_probability;hydrology;flooding_warning;flooding_nodes;swmm_instability_warning;swmm_not_converging_percent;swmm_instability_elements;qmax_Fensterstollen_m3s;qmax_Entw_Stollen_m3s;qmax_Brunnmuehle_Teich_m3s;qmax_TWT_Portail_Est_61_665_m3s
sim_0025;d:\users\isska\documents\github\twanntunnel_hydraulic_swmm\mass_computation\runs\scenario1\T3\1_1b\sim_0025;scenario1;1_1b;1_1a-1_1a_2__1_1b-1_1b_0;0.08754966;T3;NO;;YES;49;Node Brunnm_Fassung (49.00%), Node Brunnmuehle(Teich) (49.00%), Node Fensterstollen (49.00%), Node Gischeren (49.00%), Node Schuettstein (49.00%);1.37794;0.0331903;0.406688;0
sim_0026;d:\users\isska\documents\github\twanntunnel_hydraulic_swmm\mass_computation\runs\scenario1\T3\1_1b\sim_0026;scenario1;1_1b;1_1a-1_1a_2__1_1b-1_1b_1;0.01544994;T3;NO;;YES;49;Node Brunnm_Fassung (49.00%), Node Brunnmuehle(Teich) (49.00%), Node Fensterstollen (49.00%), Node Gischeren (49.00%), Node Schuettstein (49.00%);1.37794;0.0331903;0.406688;0
sim_0027;d:\users\isska\documents\github\twanntunnel_hydraulic_swmm\mass_computation\runs\scenario1\T3\1_1b\sim_0027;scenario1;1_1b;1_1a-1_1a_2__1_1b-1_1b_2;0.01544994;T3;NO;;YES;49;Node Brunnm_Fassung (49.00%), Node Brunnmuehle(Teich) (49.00%), Node Fensterstollen (49.00%), Node Gischeren (49.00%), Node Schuettstein (49.00%);1.37794;0.0331903;0.406688;0
sim_0028;d:\users\isska\documents\github\twanntunnel_hydraulic_swmm\mass_computation\runs\scenario1\T3\1_1b\sim_0028;scenario1;1_1b;1_1a-1_1a_2__1_1b-1_1b_3;0.0036479025;T3;NO;;YES;49.2;Node Brunnm_Fassung (49.20%), Node Brunnmuehle(Teich) (49.20%), Node Fensterstollen (49.20%), Node Gischeren (49.20%), Node Schuettstein (49.20%);1.42796;0.0337658;0.406329;0.0869644
sim_0029;d:\users\isska\documents\github\twanntunnel_hydraulic_swmm\mass_computation\runs\scenario1\T3\1_1b\sim_0029;scenario1;1_1b;1_1a-1_1a_2__1_1b-1_1b_1+1_1b_2;0.00272646;T3;NO;;YES;49;Node Brunnm_Fassung (49.00%), Node Brunnmuehle(Teich) (49.00%), Node Fensterstollen (49.00%), Node Gischeren (49.00%), Node Schuettstein (49.00%);1.37794;0.0331903;0.406688;0
sim_0030;d:\users\isska\documents\github\twanntunnel_hydraulic_swmm\mass_computation\runs\scenario1\T3\1_1b\sim_0030;scenario1;1_1b;1_1a-1_1a_2__1_1b-1_1b_1+1_1b_3;0.0006437475;T3;NO;;YES;50.75;Node Brunnm_Fassung (50.75%), Node Brunnmuehle(Teich) (50.75%), Node Fensterstollen (50.75%), Node Gischeren (50.75%), Node Schuettstein (50.75%);1.44026;0.0338688;0.40633;0.0677516
sim_0031;d:\users\isska\documents\github\twanntunnel_hydraulic_swmm\mass_computation\runs\scenario1\T3\1_1b\sim_0031;scenario1;1_1b;1_1a-1_1a_2__1_1b-1_1b_2+1_1b_3;0.0006437475;T3;NO;;YES;49.87;Node Brunnm_Fassung (49.87%), Node Brunnmuehle(Teich) (49.87%), Node Fensterstollen (49.87%), Node Gischeren (49.87%), Node Schuettstein (49.87%);1.44566;0.0339371;0.406329;0.0602812
sim_0032;d:\users\isska\documents\github\twanntunnel_hydraulic_swmm\mass_computation\runs\scenario1\T3\1_1b\sim_0032;scenario1;1_1b;1_1a-1_1a_2__1_1b-1_1b_1+1_1b_2+1_1b_3;0.0001136025;T3;NO;;YES;47.64;Node Brunnm_Fassung (47.64%), Node Brunnmuehle(Teich) (47.64%), Node Fensterstollen (47.64%), Node Gischeren (47.64%), Node Schuettstein (47.64%);1.37547;0.0368307;0.406054;0.0526024
sim_0033;d:\users\isska\documents\github\twanntunnel_hydraulic_swmm\mass_computation\runs\scenario1\T3\1_1b\sim_0033;scenario1;1_1b;1_1a-1_1a_3__1_1b-1_1b_0;0.00501126;T3;NO;;YES;50.84;Node Brunnm_Fassung (50.84%), Node Brunnmuehle(Teich) (50.84%), Node Fensterstollen (50.84%), Node Gischeren (50.84%), Node Schuettstein (50.84%);1.3871;0.0335058;0.406244;0.17835
sim_0034;d:\users\isska\documents\github\twanntunnel_hydraulic_swmm\mass_computation\runs\scenario1\T3\1_1b\sim_0034;scenario1;1_1b;1_1a-1_1a_3__1_1b-1_1b_1;0.00088434;T3;NO;;YES;50.84;Node Brunnm_Fassung (50.84%), Node Brunnmuehle(Teich) (50.84%), Node Fensterstollen (50.84%), Node Gischeren (50.84%), Node Schuettstein (50.84%);1.3871;0.0335058;0.406244;0.17835
