simulation_id;scenario;phase;variant_combination;combination_probability;hydrology;flooding_warning;flooding_nodes;qmax_Fensterstollen_m3s;qmax_Entw_Stollen_m3s;qmax_Brunnmuehle_Teich_m3s;qmax_TWT_Portail_Est_61_665_m3s
sim_0264;scenario1;1_2a;1_1a-1_1a_1__1_1b-1_1b_3__1_2a-1_2a_1+1_2a_2+1_2a_3+1_2a_4;2.39338883025e-11;Q14_7;YES;Amont_C, Syst_Est_interm;0.845;0.0153;0.311;9.74
sim_0265;scenario1;1_2a;1_1a-1_1a_1__1_1b-1_1b_1+1_1b_2__1_2a-1_2a_0;0.0026446662;Q14_7;YES;Amont_C;1.34;0.0295;0.416;0.414
sim_0266;scenario1;1_2a;1_1a-1_1a_1__1_1b-1_1b_1+1_1b_2__1_2a-1_2a_1;2.38815550997e-05;Q14_7;YES;Amont_C;1.34;0.0301;0.416;0.203
sim_0267;scenario1;1_2a;1_1a-1_1a_1__1_1b-1_1b_1+1_1b_2__1_2a-1_2a_2;2.38815550997e-05;Q14_7;YES;Amont_C;1.34;0.031;0.416;0.181
sim_0268;scenario1;1_2a;1_1a-1_1a_1__1_1b-1_1b_1+1_1b_2__1_2a-1_2a_3;2.38815550997e-05;Q14_7;YES;Amont_C;1.3;0.0294;0.416;0.414
sim_0269;scenario1;1_2a;1_1a-1_1a_1__1_1b-1_1b_1+1_1b_2__1_2a-1_2a_4;2.38815550997e-05;Q14_7;YES;Amont_C;0.9;0.0121;0.308;6.92
sim_0270;scenario1;1_2a;1_1a-1_1a_1__1_1b-1_1b_1+1_1b_2__1_2a-1_2a_1+1_2a_2;2.16885969624e-07;Q14_7;YES;Amont_C;1.45;0.0341;0.416;0.0497
sim_0271;scenario1;1_2a;1_1a-1_1a_1__1_1b-1_1b_1+1_1b_2__1_2a-1_2a_1+1_2a_3;2.16885969624e-07;Q14_7;YES;Amont_C;1.31;0.0303;0.416;0.219
sim_0272;scenario1;1_2a;1_1a-1_1a_1__1_1b-1_1b_1+1_1b_2__1_2a-1_2a_1+1_2a_4;2.16885969624e-07;Q14_7;YES;Amont_C;0.902;0.0129;0.31;6.99
sim_0273;scenario1;1_2a;1_1a-1_1a_1__1_1b-1_1b_1+1_1b_2__1_2a-1_2a_2+1_2a_3;2.16885969624e-07;Q14_7;YES;Amont_C;1.31;0.031;0.416;0.184
sim_0274;scenario1;1_2a;1_1a-1_1a_1__1_1b-1_1b_1+1_1b_2__1_2a-1_2a_2+1_2a_4;2.16885969624e-07;Q14_7;YES;Amont_C;0.907;0.0136;0.312;6.65
sim_0275;scenario1;1_2a;1_1a-1_1a_1__1_1b-1_1b_1+1_1b_2__1_2a-1_2a_3+1_2a_4;2.16885969624e-07;Q14_7;YES;Amont_C;0.887;0.012;0.308;6.9
sim_0276;scenario1;1_2a;1_1a-1_1a_1__1_1b-1_1b_1+1_1b_2__1_2a-1_2a_1+1_2a_2+1_2a_3;1.96970103594e-09;Q14_7;YES;Amont_C;1.42;0.034;0.416;0.0499
sim_0277;scenario1;1_2a;1_1a-1_1a_1__1_1b-1_1b_1+1_1b_2__1_2a-1_2a_1+1_2a_2+1_2a_4;1.96970103594e-09;Q14_7;YES;Amont_C;0.918;0.0148;0.314;6.7
sim_0278;scenario1;1_2a;1_1a-1_1a_1__1_1b-1_1b_1+1_1b_2__1_2a-1_2a_1+1_2a_3+1_2a_4;1.96970103594e-09;Q14_7;YES;Amont_C;0.889;0.013;0.31;7
sim_0279;scenario1;1_2a;1_1a-1_1a_1__1_1b-1_1b_1+1_1b_2__1_2a-1_2a_2+1_2a_3+1_2a_4;1.96970103594e-09;Q14_7;YES;Amont_C;0.894;0.0136;0.312;6.66
sim_0280;scenario1;1_2a;1_1a-1_1a_1__1_1b-1_1b_1+1_1b_2__1_2a-1_2a_1+1_2a_2+1_2a_3+1_2a_4;1.788830406e-11;Q14_7;YES;Amont_C;0.905;0.0149;0.315;6.72
sim_0281;scenario1;1_2a;1_1a-1_1a_1__1_1b-1_1b_1+1_1b_3__1_2a-1_2a_0;0.000624435075;Q14_7;YES;Amont_C;1.31;0.0311;0.413;1.32
sim_0282;scenario1;1_2a;1_1a-1_1a_1__1_1b-1_1b_1+1_1b_3__1_2a-1_2a_1;5.63870050966e-06;Q14_7;YES;Amont_C;1.31;0.0311;0.413;1.21
sim_0283;scenario1;1_2a;1_1a-1_1a_1__1_1b-1_1b_1+1_1b_3__1_2a-1_2a_2;5.63870050966e-06;Q14_7;YES;Amont_C;1.31;0.0312;0.413;1.09
sim_0284;scenario1;1_2a;1_1a-1_1a_1__1_1b-1_1b_1+1_1b_3__1_2a-1_2a_3;5.63870050966e-06;Q14_7;YES;Amont_C;1.28;0.0311;0.413;1.35
sim_0285;scenario1;1_2a;1_1a-1_1a_1__1_1b-1_1b_1+1_1b_3__1_2a-1_2a_4;5.63870050966e-06;Q14_7;YES;Amont_C;0.869;0.015;0.311;10.4
